Ticker,Date,Cluster
WSFS,2018-03-12,4
PLXS,2015-06-01,4
RICK,2017-11-27,4
EXR,2020-11-09,3
PDCO,2016-12-05,4
UFPT,2015-10-12,4
EA,2015-06-15,3
OCFC,2019-08-12,1
BA,2015-08-24,4
COCP,2019-04-22,4
ODC,2017-10-30,4
INTG,2015-06-01,3
APAM,2017-10-16,4
PVBC,2018-10-22,4
CTHR,2015-06-08,1
PKE,2016-07-25,4
LFT,2020-05-11,3
PD,2020-02-03,1
ENLC,2020-03-02,2
TGT,2019-01-28,4
HLIO,2019-10-14,3
ENLC,2016-09-19,4
SYNA,2017-08-21,4
PMTS,2017-06-12,4
HSII,2018-07-30,0
SVVC,2019-12-09,3
PAG,2018-06-18,1
GEN,2019-09-09,4
AMWD,2019-10-07,4
AMT,2020-12-07,1
HNI,2018-10-01,1
BOH,2020-04-13,4
TPC,2016-10-24,4
ABCB,2019-04-22,3
AMN,2017-01-30,4
MASI,2019-03-18,4
HRTX,2017-02-27,1
MODN,2020-03-09,2
AMED,2019-02-04,4
VRCA,2020-10-05,4
ZVRA,2018-04-23,1
MFIN,2017-09-18,1
AYRO,2019-11-04,1
SHOO,2017-09-18,4
LITE,2020-11-09,1
AHH,2018-09-24,4
GOOGL,2015-04-27,1
NOC,2015-04-20,1
PARA,2020-10-26,4
UNP,2020-06-15,4
OBIO,2020-11-02,1
CTLT,2020-03-23,0
AMBA,2019-07-22,4
ELMD,2015-10-19,3
SBCF,2015-08-24,3
SAM,2018-02-05,3
AXTA,2016-09-19,4
ARES,2018-10-15,1
DIN,2016-12-05,4
MLI,2020-04-13,1
QRTEB,2017-03-20,1
EVC,2016-12-05,1
BHF,2020-06-08,2
BSX,2018-07-09,4
NKLA,2019-09-16,4
PDFS,2016-10-31,4
SWKH,2015-03-16,4
LPG,2017-07-31,1
SRG,2018-06-11,4
CATC,2015-01-05,4
LKQ,2017-08-07,4
RHP,2016-06-13,4
RMTI,2015-09-28,3
PGC,2017-03-27,4
TPH,2015-05-04,4
FTNT,2019-08-12,4
FICO,2018-02-05,4
OCX,2019-07-15,1
ISTR,2018-04-30,4
SITC,2017-07-17,4
WM,2016-11-28,4
LGND,2015-07-20,4
CUK,2020-01-06,4
JILL,2019-07-29,1
FCF,2015-08-03,4
MC,2020-08-03,4
EKSO,2019-07-22,1
CYCC,2017-08-07,1
NDLS,2019-04-22,3
BCBP,2018-05-07,4
CDTX,2018-09-10,4
ALOT,2015-12-07,1
NEXT,2015-10-05,4
NTCT,2019-03-18,4
HOFT,2015-06-15,4
SAVA,2018-09-24,0
IPG,2017-07-17,1
EPD,2018-10-15,1
FORD,2015-04-27,4
VVV,2017-09-25,4
INTZ,2016-08-15,4
WEC,2019-03-04,4
EMN,2015-09-21,1
CEVA,2015-10-12,4
UE,2016-09-26,1
PAHC,2019-08-12,4
HPK,2020-02-24,4
DUK,2019-12-09,4
ENG,2020-11-30,1
AZTA,2016-07-18,3
TMUS,2017-07-24,4
RVYL,2015-03-09,2
DLX,2017-08-07,4
NTIP,2018-04-16,4
LPG,2018-05-07,4
TUP,2020-05-04,1
PCTY,2015-01-05,1
MCVT,2018-03-12,4
CATX,2015-09-14,1
SPLP,2020-03-02,1
TPC,2019-08-12,4
ACLS,2017-03-27,3
BCRX,2017-06-12,3
COGT,2019-08-12,3
HCC,2018-11-05,1
KROS,2020-08-24,3
IVZ,2018-08-13,4
ECPG,2015-04-06,4
ARCB,2017-02-27,1
SMCI,2019-02-25,4
REKR,2017-10-09,0
RF,2016-11-07,3
FICO,2015-09-28,3
SHEN,2015-11-09,4
